round,hospital,train_loss,test_loss,micro_f1,precision,recall,macro_f1,macro_precision,macro_recall
4,cpsc_2018,0.12413623212526242,0.10493701666593552,0.7732276530162924,0.871896722939424,0.694620253164557,0.3916121464926508,0.4752834516232218,0.36814803094395515
4,georgia,0.19141777844040417,0.18351985716704025,0.677916360968452,0.7619571192963167,0.6105726872246696,0.45435497645084344,0.6120808029211943,0.42625306394371526
4,ningbo,0.09376605382385998,0.0940245161857456,0.8329986096091457,0.8952349327577619,0.7788530983677596,0.3858338387152651,0.4776134317927594,0.35566149483607323
4,ptb-xl,0.12570474848165372,0.11668274375280727,0.8213324635081138,0.8486686889113583,0.7957023226418075,0.44731005230625814,0.48010252874874865,0.43516186462816364
5,chapman_shaoxing,0.11422135424651918,0.09951717122378996,0.8387755102040816,0.8880726015557476,0.7946635730858469,0.5122288054987381,0.6118695412372098,0.4743589356172107
5,cpsc_2018,0.1268660788362225,0.0922669616341591,0.7950469684030743,0.8636363636363636,0.7365506329113924,0.40584963643877336,0.42052027201972436,0.39391529567630884
5,georgia,0.1819310947777886,0.1752744765536299,0.7154105736782902,0.7310344827586207,0.7004405286343612,0.5552435828259868,0.573540071748675,0.5603376148285025
5,ningbo,0.08928133107020134,0.09120324158708432,0.8375185793632167,0.913481228668942,0.7732197024411382,0.4296990725874878,0.4911645132858429,0.4103947263638022
5,ptb-xl,0.12232353699397111,0.11437162147133749,0.8261232670786705,0.8761736049601417,0.7814820666772002,0.46633365790548104,0.511846200669212,0.4386418640051906
6,chapman_shaoxing,0.10761487148623052,0.0942688267993725,0.8399675060926076,0.8845166809238666,0.7996906419180201,0.5397837253375549,0.6198818048921937,0.5094732320987837
6,cpsc_2018,0.13105654122928778,0.09683734486500423,0.7909053999187983,0.8123436196830692,0.7705696202531646,0.4361042443081944,0.4579806709459029,0.4248695813898631
6,georgia,0.17932156685228443,0.16681368591137302,0.7114777966512982,0.7920043219881145,0.6458149779735682,0.5398613322563149,0.5948413851125527,0.510133345227613
6,ningbo,0.08547648182774858,0.08880573630066854,0.8338548424025033,0.8839805825242718,0.7891087678751986,0.4416102848037573,0.4564504760650158,0.4528728761530214
6,ptb-xl,0.12084893949910602,0.11667785245372768,0.820580474934037,0.8580789791343335,0.786222151998736,0.445279167857491,0.5146904615015729,0.4227160035310135
7,chapman_shaoxing,0.10406223512917061,0.09242208619302107,0.852139303482587,0.8778187781877819,0.8279195668986852,0.5626512186399052,0.6281103368732036,0.5349707819619448
7,cpsc_2018,0.1287727889853219,0.09633235936363538,0.8036785285885646,0.8124494745351657,0.7950949367088608,0.4347566951416293,0.44809765981703037,0.44246894629390954
7,georgia,0.17338987635265962,0.16635003541279764,0.7022538552787663,0.7609254498714653,0.6519823788546255,0.5024032671064372,0.5828273266413337,0.4818826531906939
7,ningbo,0.0828108242856865,0.08615754912274756,0.8341538461538461,0.8922165542208327,0.7831864798497761,0.4433069417347488,0.5130960338095156,0.4474218635342971
7,ptb-xl,0.11860180349432697,0.11411481527717848,0.825106022052587,0.8906793627540743,0.7685258334650024,0.44064911768444937,0.5401879710263423,0.4171909257879381
8,chapman_shaoxing,0.10132523372990816,0.08575368238518298,0.8518518518518519,0.9220720720720721,0.791569992266048,0.5782242452432358,0.6181088009309775,0.557859282535042
8,cpsc_2018,0.12562622672567764,0.09188378016153971,0.8021885521885522,0.8570143884892086,0.7539556962025317,0.41972234745076453,0.44256272614432096,0.40690039053176735
8,georgia,0.17168728711412234,0.168292445465199,0.6966836117162915,0.7732401934443848,0.633920704845815,0.531083148390134,0.6089851234466094,0.5038871169212473
8,ningbo,0.07998992467337937,0.08531938807240554,0.8477050413844996,0.8847180775875608,0.8136645962732919,0.46231099182798036,0.5156883178661987,0.45415821268853557
8,ptb-xl,0.11603118072019557,0.11545152918297528,0.8226753670473084,0.8502781992918563,0.7968083425501659,0.4683598722360505,0.4927481391304019,0.45937519476557737
9,chapman_shaoxing,0.09728820200005028,0.08398007650433456,0.8600364593882925,0.9030199914929817,0.8209590100541376,0.5860769967531958,0.6136772332480088,0.5664714180048034
9,cpsc_2018,0.12356555500378211,0.08691542506217957,0.8044217687074829,0.8694852941176471,0.7484177215189873,0.42612343871885483,0.464953714043924,0.4011384431573603
9,georgia,0.16831959356718204,0.15182101712064835,0.7524982570299791,0.7963600590260699,0.713215859030837,0.5929228122590228,0.6016686705042914,0.5896363014677029
9,ningbo,0.07771939399841661,0.08593188280771885,0.8392707300328018,0.8892660847074039,0.7945977177524195,0.48576113238435914,0.5499240195449681,0.46442886196714595
9,ptb-xl,0.11367368671384431,0.10859417939424061,0.8332506203473945,0.8743273737198403,0.7958603254858587,0.46583593142322716,0.514586494548198,0.43895017179210577
10,chapman_shaoxing,0.0925643868910469,0.08280138103133541,0.8583656001630324,0.9073675140025851,0.814385150812065,0.5864108487850596,0.6426167128783035,0.5676898300619003
