round,hospital,train_loss,test_loss,micro_f1,precision,recall,macro_f1,macro_precision,macro_recall
18,cpsc_2018,0.13014602053910493,0.11297191475828489,0.7517064846416383,0.8157407407407408,0.696993670886076,0.38128623952719826,0.3922620031796389,0.3805665865467907
18,georgia,0.19666232879036197,0.1803001472816884,0.6739454094292804,0.7715909090909091,0.5982378854625551,0.49386303406711657,0.5705520782246384,0.46125926539491197
18,ningbo,0.1071524249937447,0.1271169307907777,0.7945903844792183,0.7793055555555556,0.8104867831864798,0.4166785804039144,0.39799503369025774,0.4718173082437329
18,ptb-xl,0.13336848728571216,0.12135818381103272,0.8064959615054133,0.8839706159352043,0.7415073471322484,0.3553653382868725,0.5209750903355307,0.3432958701637711
19,chapman_shaoxing,0.11905528732324355,0.10727458551399789,0.8335620466575181,0.8453280318091452,0.8221191028615623,0.5611258927453405,0.5853264764987339,0.5618432638749576
19,cpsc_2018,0.13132591728121043,0.0989133869111538,0.7844311377245509,0.8538175046554934,0.7254746835443038,0.3920255711383143,0.4256551209316278,0.3737207788184486
19,georgia,0.19775240930418173,0.19645376517934707,0.6238532110091743,0.7400241837968561,0.5392070484581498,0.45648706149306734,0.6192715368655438,0.4262278582837023
19,ningbo,0.10575289394650247,0.11452630633222205,0.7956187723435004,0.8402956298200515,0.7554528383648708,0.4043764391227216,0.3986803261872514,0.4342786268418282
19,ptb-xl,0.13199654884438097,0.11942996868700809,0.8129748186086214,0.8841440772372818,0.7524095433717807,0.4280691564776915,0.48476089859986987,0.43157151800260724
20,chapman_shaoxing,0.1180990091080119,0.09783870164873236,0.8371723590150913,0.8604081632653061,0.8151585460170147,0.5595702158891295,0.5914433881785931,0.5594276939489412
20,cpsc_2018,0.12938444613168637,0.09501119921604792,0.7907573812580231,0.8611369990680335,0.7310126582278481,0.4107945752639302,0.4810512260296515,0.3910991908472856
20,georgia,0.1958808566023614,0.1815838957729849,0.6280814576634512,0.801641586867305,0.5162995594713656,0.4748286978646555,0.5953826673733725,0.41224612058606863
20,ningbo,0.10669112157164976,0.1508861953981354,0.7160881032147695,0.7068674359696031,0.725552506138957,0.3823712977656808,0.3923395289607346,0.41659144476728516
20,ptb-xl,0.13185303176296415,0.12717857013523806,0.8135160981829773,0.820710725196977,0.8064465160372887,0.42235401072229367,0.39697661270547197,0.4672923200895694
21,chapman_shaoxing,0.11689018922405131,0.11910539268815921,0.8062622309197651,0.8161648177496038,0.7965970610982211,0.5400571479802517,0.5453875211743971,0.5561367860161134
21,cpsc_2018,0.12733950729171434,0.11097109188636144,0.7431551499348109,0.8244937319189971,0.6764240506329114,0.35740257524270147,0.4508745893943642,0.34775107165028
21,georgia,0.19552044243570052,0.20035414285596134,0.664745437079731,0.7307286166842661,0.6096916299559472,0.4864351677589929,0.554505290795357,0.4653552409307326
21,ningbo,0.10387542892292967,0.11875622565458928,0.8023845007451564,0.828690164691396,0.7776975299725553,0.38188994041998175,0.44550088673639504,0.39314996754141346
21,ptb-xl,0.13114927419082406,0.11612013151635461,0.8237449005078677,0.8706441393875396,0.7816400695212514,0.4131145066148753,0.5153129706878524,0.4122951603561502
22,chapman_shaoxing,0.11801828427394484,0.11184101308680187,0.8191925102399064,0.8264462809917356,0.8120649651972158,0.553958704434097,0.5822696217135012,0.565744556359096
22,cpsc_2018,0.12569774710883697,0.10794117351373037,0.7760586319218241,0.799496644295302,0.7539556962025317,0.39728807949416955,0.400942262586464,0.40268887932195435
22,georgia,0.1938890985523661,0.1778448060588929,0.6901237563698132,0.7682333873581848,0.626431718061674,0.5396096216609014,0.5965377424780792,0.5069272000629692
22,ningbo,0.1045856350546771,0.11323740839026869,0.7904052165812762,0.8543379761704984,0.7353748374981944,0.4031396829777823,0.47063190048061676,0.3946915175481636
22,ptb-xl,0.13032912336884797,0.1486793102930254,0.7669464170432537,0.7837704106877783,0.7508295149312688,0.43835860398750626,0.46630557407625944,0.46320156626238074
23,chapman_shaoxing,0.11675024725449314,0.09221217677123465,0.8453692370461037,0.8946459412780656,0.8012374323279196,0.5838012883387926,0.6079564024717558,0.5656934785222477
23,cpsc_2018,0.1270680962006251,0.1457990970214208,0.7011320754716981,0.6702741702741702,0.7349683544303798,0.37393250981076404,0.3860120236878389,0.38970051206568807
23,georgia,0.19312385763680817,0.18421859945197708,0.6958929395477619,0.7306201550387597,0.66431718061674,0.5168289553188715,0.5604632276398244,0.5099007787795119
23,ningbo,0.10310890694302162,0.13232489956276758,0.7254428341384863,0.8195379297798799,0.6507294525494728,0.33069954252002437,0.4592387151359277,0.33119784023995347
23,ptb-xl,0.1301982487505833,0.11743608936525796,0.8165018641595072,0.8382426360459311,0.7958603254858587,0.43633189184994553,0.5156625654415962,0.4202443125810618
24,chapman_shaoxing,0.11518503587115596,0.10521306245887684,0.8372272639505696,0.8360971847281141,0.8383604021655066,0.5793126651868284,0.5690978009088854,0.6105191686315564
24,cpsc_2018,0.13010205487410229,0.09546659201383591,0.7970419063270336,0.8290598290598291,0.7674050632911392,0.4104434579987261,0.40578789633935114,0.4193854561004014
24,georgia,0.19303373855483882,0.17794927538743296,0.70489443378119,0.773972602739726,0.647136563876652,0.5248252906453666,0.6560786594868445,0.49909378465513926
24,ningbo,0.10244873223396447,0.10856058577873877,0.8040704500978474,0.8776486671223513,0.7418749097212192,0.40148276637104363,0.4845907795154107,0.39670924077390946
24,ptb-xl,0.12952802705263344,0.1234470540409759,0.8149654331028874,0.8397586322494134,0.7915942486964765,0.4459832567107112,0.46914027043599754,0.4675308964558568
25,chapman_shaoxing,0.1145451377420795,0.1039127384201955,0.833201581027668,0.8520614389652384,0.8151585460170147,0.5460246247421549,0.5748622268944098,0.5614003995252906
25,cpsc_2018,0.12664291789134344,0.09852850859363874,0.797752808988764,0.8094462540716613,0.7863924050632911,0.40482252386123224,0.39369612920511127,0.4260003836588225
25,georgia,0.1916481727807253,0.1756633179425036,0.687192118226601,0.7793296089385475,0.6145374449339207,0.5269807542431727,0.586555011661614,0.4899323521929381
25,ningbo,0.10275979890166043,0.10779468707208123,0.819757883724406,0.8492026629509212,0.7922865809620107,0.40689539402244135,0.4493090850129642,0.39032258061479763
25,ptb-xl,0.1299695132845595,0.11930686894081845,0.8260652463382158,0.872692104800422,0.7841681150260704,0.44353530438977046,0.4491893726242924,0.4523079175711823
26,chapman_shaoxing,0.1143876450519906,0.10239732786381649,0.83046781287485,0.8596854304635762,0.8031709203402939,0.5573884629521512,0.6066984853608185,0.5388520919230536
26,cpsc_2018,0.12691698661694925,0.09255904098351797,0.8054977092877967,0.8504837291116975,0.7650316455696202,0.41026574050115316,0.4282782662242021,0.4066608409497568
26,georgia,0.18946019450531287,0.1820356400990949,0.6353313968840771,0.7930125247198417,0.5299559471365639,0.4877459378818423,0.5759433918610183,0.4465914125799724
26,ningbo,0.10171609176396466,0.11272821450872081,0.8067843227137291,0.8563087901394746,0.7626751408348982,0.38254087398835673,0.4405692945434932,0.405398153982536
